         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   7.76759e+01   0.00000e+00   6.28401e+00   1.24495e+01   8.00000e+01
             1   7.77423e+01   1.00000e+00   6.39154e+00   1.24491e+01   8.01667e+01
             2   7.78177e+01   2.00000e+00   6.80394e+00   1.24488e+01   8.03333e+01
             3   7.79052e+01   3.00000e+00   7.48642e+00   1.24486e+01   8.05000e+01
             4   7.79951e+01   4.00000e+00   8.29947e+00   1.24486e+01   8.06667e+01
             5   7.81080e+01   5.00000e+00   9.05860e+00   1.24491e+01   8.08333e+01
             6   7.82346e+01   6.00000e+00   9.72485e+00   1.24499e+01   8.10000e+01
             7   7.83687e+01   7.00000e+00   1.03260e+01   1.24504e+01   8.11667e+01
             8   7.85064e+01   8.00000e+00   1.07203e+01   1.24535e+01   8.13333e+01
             9   7.86420e+01   9.00000e+00   1.10534e+01   1.24566e+01   8.15000e+01
            10   7.87867e+01   1.00000e+01   1.13488e+01   1.24620e+01   8.16667e+01
            11   7.89367e+01   1.10000e+01   1.16038e+01   1.24681e+01   8.18333e+01
            12   7.90900e+01   1.20000e+01   1.17516e+01   1.24748e+01   8.20000e+01
            13   7.92418e+01   1.30000e+01   1.19173e+01   1.24808e+01   8.21667e+01
            14   7.94090e+01   1.40000e+01   1.20600e+01   1.24867e+01   8.23333e+01
            15   7.95554e+01   1.50000e+01   1.21809e+01   1.24926e+01   8.25000e+01
            16   7.97203e+01   1.60000e+01   1.22287e+01   1.24980e+01   8.26667e+01
            17   7.98769e+01   1.70000e+01   1.22944e+01   1.25030e+01   8.28333e+01
            18   8.00360e+01   1.80000e+01   1.23500e+01   1.25076e+01   8.30000e+01
            19   8.02037e+01   1.90000e+01   1.24077e+01   1.25120e+01   8.31667e+01
            20   8.03886e+01   2.00000e+01   1.24025e+01   1.25148e+01   8.33333e+01
            21   8.05549e+01   2.10000e+01   1.24227e+01   1.25179e+01   8.35000e+01
            22   8.07346e+01   2.20000e+01   1.24525e+01   1.25207e+01   8.36667e+01
            23   8.09037e+01   2.30000e+01   1.24915e+01   1.25234e+01   8.38333e+01
            24   8.10679e+01   2.40000e+01   1.25119e+01   1.25247e+01   8.40000e+01
            25   8.12465e+01   2.50000e+01   1.25394e+01   1.25264e+01   8.41667e+01
            26   8.14190e+01   2.60000e+01   1.25671e+01   1.25280e+01   8.43333e+01
            27   8.15963e+01   2.70000e+01   1.25947e+01   1.25295e+01   8.45000e+01
            28   8.17708e+01   2.80000e+01   1.26127e+01   1.25302e+01   8.46667e+01
            29   8.19448e+01   2.90000e+01   1.26333e+01   1.25311e+01   8.48333e+01
            30   8.21136e+01   3.00000e+01   1.26563e+01   1.25319e+01   8.50000e+01
            31   8.22997e+01   3.10000e+01   1.26795e+01   1.25327e+01   8.51667e+01
            32   8.24645e+01   3.20000e+01   1.26998e+01   1.25330e+01   8.53333e+01
            33   8.26387e+01   3.30000e+01   1.27213e+01   1.25334e+01   8.55000e+01
