         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   5.56048e+01   0.00000e+00   1.10399e+00   1.60001e+00   2.50000e+01
             1   5.55406e+01   1.00000e+00   1.02989e+00   1.60003e+00   2.50833e+01
             2   5.54884e+01   2.00000e+00   9.04862e-01   1.60008e+00   2.51667e+01
             3   5.54274e+01   3.00000e+00   7.43721e-01   1.60015e+00   2.52500e+01
             4   5.53619e+01   4.00000e+00   4.84432e-01   1.60035e+00   2.53333e+01
             5   5.52982e+01   5.00000e+00   2.36573e-01   1.60061e+00   2.54167e+01
             6   5.52452e+01   6.00000e+00  -4.05773e-03   1.60091e+00   2.55000e+01
             7   5.51880e+01   7.00000e+00  -2.33488e-01   1.60122e+00   2.55833e+01
             8   5.51363e+01   8.00000e+00  -4.52702e-01   1.60182e+00   2.56667e+01
             9   5.50895e+01   9.00000e+00  -6.71717e-01   1.60233e+00   2.57500e+01
            10   5.50498e+01   1.00000e+01  -9.03274e-01   1.60291e+00   2.58333e+01
            11   5.49964e+01   1.10000e+01  -1.11664e+00   1.60354e+00   2.59167e+01
            12   5.49546e+01   1.20000e+01  -1.28843e+00   1.60442e+00   2.60000e+01
            13   5.48920e+01   1.30000e+01  -1.46992e+00   1.60522e+00   2.60833e+01
            14   5.48523e+01   1.40000e+01  -1.64705e+00   1.60607e+00   2.61667e+01
            15   5.48101e+01   1.50000e+01  -1.81642e+00   1.60696e+00   2.62500e+01
            16   5.47687e+01   1.60000e+01  -1.94154e+00   1.60791e+00   2.63333e+01
            17   5.47169e+01   1.70000e+01  -2.07739e+00   1.60872e+00   2.64167e+01
            18   5.46753e+01   1.80000e+01  -2.20922e+00   1.60949e+00   2.65000e+01
            19   5.46316e+01   1.90000e+01  -2.33183e+00   1.61026e+00   2.65833e+01
            20   5.45932e+01   2.00000e+01  -2.40227e+00   1.61075e+00   2.66667e+01
            21   5.45782e+01   2.10000e+01  -2.49314e+00   1.61131e+00   2.67500e+01
            22   5.45333e+01   2.20000e+01  -2.58598e+00   1.61189e+00   2.68333e+01
            23   5.45006e+01   2.30000e+01  -2.68635e+00   1.61247e+00   2.69167e+01
            24   5.44496e+01   2.40000e+01  -2.70965e+00   1.61291e+00   2.70000e+01
            25   5.44213e+01   2.50000e+01  -2.76365e+00   1.61335e+00   2.70833e+01
            26   5.43801e+01   2.60000e+01  -2.81843e+00   1.61370e+00   2.71667e+01
            27   5.43458e+01   2.70000e+01  -2.86704e+00   1.61398e+00   2.72500e+01
            28   5.43188e+01   2.80000e+01  -2.89556e+00   1.61420e+00   2.73333e+01
            29   5.42861e+01   2.90000e+01  -2.93918e+00   1.61443e+00   2.74167e+01
            30   5.42507e+01   3.00000e+01  -2.98316e+00   1.61463e+00   2.75000e+01
            31   5.42136e+01   3.10000e+01  -3.02489e+00   1.61483e+00   2.75833e+01
            32   5.41930e+01   3.20000e+01  -3.05080e+00   1.61499e+00   2.76667e+01
            33   5.41542e+01   3.30000e+01  -3.08365e+00   1.61522e+00   2.77500e+01
            34   5.41239e+01   3.40000e+01  -3.11861e+00   1.61549e+00   2.78333e+01
            35   5.41044e+01   3.50000e+01  -3.15359e+00   1.61579e+00   2.79167e+01
            36   5.40750e+01   3.60000e+01  -3.17747e+00   1.61608e+00   2.80000e+01
            37   5.40449e+01   3.70000e+01  -3.20637e+00   1.61630e+00   2.80833e+01
            38   5.40065e+01   3.80000e+01  -3.23377e+00   1.61645e+00   2.81667e+01
            39   5.39768e+01   3.90000e+01  -3.26028e+00   1.61658e+00   2.82500e+01
            40   5.39586e+01   4.00000e+01  -3.27830e+00   1.61657e+00   2.83333e+01
            41   5.39332e+01   4.10000e+01  -3.30028e+00   1.61662e+00   2.84167e+01
            42   5.39065e+01   4.20000e+01  -3.32438e+00   1.61668e+00   2.85000e+01
            43   5.38911e+01   4.30000e+01  -3.34704e+00   1.61673e+00   2.85833e+01
            44   5.38553e+01   4.40000e+01  -3.36687e+00   1.61665e+00   2.86667e+01
            45   5.38435e+01   4.50000e+01  -3.38828e+00   1.61658e+00   2.87500e+01
            46   5.38263e+01   4.60000e+01  -3.40862e+00   1.61651e+00   2.88333e+01
            47   5.38080e+01   4.70000e+01  -3.42775e+00   1.61643e+00   2.89167e+01
            48   5.37867e+01   4.80000e+01  -3.44123e+00   1.61627e+00   2.90000e+01
            49   5.37749e+01   4.90000e+01  -3.45867e+00   1.61621e+00   2.90833e+01
            50   5.37436e+01   5.00000e+01  -3.47681e+00   1.61619e+00   2.91667e+01
            51   5.37324e+01   5.10000e+01  -3.49551e+00   1.61620e+00   2.92500e+01
            52   5.37128e+01   5.20000e+01  -3.51230e+00   1.61635e+00   2.93333e+01
            53   5.36867e+01   5.30000e+01  -3.52878e+00   1.61645e+00   2.94167e+01
            54   5.36699e+01   5.40000e+01  -3.54575e+00   1.61648e+00   2.95000e+01
            55   5.36656e+01   5.50000e+01  -3.56479e+00   1.61644e+00   2.95833e+01
            56   5.36469e+01   5.60000e+01  -3.58071e+00   1.61630e+00   2.96667e+01
            57   5.36146e+01   5.70000e+01  -3.59801e+00   1.61613e+00   2.97500e+01
            58   5.36014e+01   5.80000e+01  -3.61403e+00   1.61596e+00   2.98333e+01
            59   5.35929e+01   5.90000e+01  -3.62931e+00   1.61579e+00   2.99167e+01
            60   5.35812e+01   6.00000e+01  -3.64594e+00   1.61556e+00   3.00000e+01
            61   5.35582e+01   6.10000e+01  -3.66078e+00   1.61548e+00   3.00833e+01
            62   5.35460e+01   6.20000e+01  -3.67465e+00   1.61546e+00   3.01667e+01
            63   5.35210e+01   6.30000e+01  -3.68791e+00   1.61545e+00   3.02500e+01
            64   5.35170e+01   6.40000e+01  -3.70253e+00   1.61571e+00   3.03333e+01
            65   5.35003e+01   6.50000e+01  -3.71973e+00   1.61584e+00   3.04167e+01
            66   5.34929e+01   6.60000e+01  -3.73587e+00   1.61596e+00   3.05000e+01
            67   5.34861e+01   6.70000e+01  -3.75081e+00   1.61609e+00   3.05833e+01
            68   5.34822e+01   6.80000e+01  -3.75811e+00   1.61624e+00   3.06667e+01
            69   5.34609e+01   6.90000e+01  -3.76895e+00   1.61640e+00   3.07500e+01
            70   5.34569e+01   7.00000e+01  -3.78125e+00   1.61658e+00   3.08333e+01
            71   5.34412e+01   7.10000e+01  -3.79330e+00   1.61676e+00   3.09167e+01
            72   5.34352e+01   7.20000e+01  -3.80557e+00   1.61693e+00   3.10000e+01
            73   5.34229e+01   7.30000e+01  -3.81848e+00   1.61697e+00   3.10833e+01
            74   5.34167e+01   7.40000e+01  -3.83145e+00   1.61693e+00   3.11667e+01
            75   5.34010e+01   7.50000e+01  -3.84459e+00   1.61681e+00   3.12500e+01
            76   5.33873e+01   7.60000e+01  -3.85077e+00   1.61642e+00   3.13333e+01
            77   5.33853e+01   7.70000e+01  -3.86017e+00   1.61613e+00   3.14167e+01
            78   5.33772e+01   7.80000e+01  -3.87056e+00   1.61585e+00   3.15000e+01
            79   5.33774e+01   7.90000e+01  -3.88152e+00   1.61557e+00   3.15833e+01
            80   5.33709e+01   8.00000e+01  -3.89207e+00   1.61526e+00   3.16667e+01
            81   5.33683e+01   8.10000e+01  -3.90245e+00   1.61508e+00   3.17500e+01
            82   5.33804e+01   8.20000e+01  -3.91309e+00   1.61497e+00   3.18333e+01
            83   5.33741e+01   8.30000e+01  -3.92419e+00   1.61491e+00   3.19167e+01
            84   5.33607e+01   8.40000e+01  -3.93165e+00   1.61513e+00   3.20000e+01
            85   5.33582e+01   8.50000e+01  -3.93883e+00   1.61527e+00   3.20833e+01
            86   5.33510e+01   8.60000e+01  -3.94658e+00   1.61543e+00   3.21667e+01
            87   5.33531e+01   8.70000e+01  -3.95342e+00   1.61562e+00   3.22500e+01
            88   5.33386e+01   8.80000e+01  -3.95799e+00   1.61593e+00   3.23333e+01
            89   5.33543e+01   8.90000e+01  -3.96391e+00   1.61618e+00   3.24167e+01
            90   5.33377e+01   9.00000e+01  -3.97049e+00   1.61643e+00   3.25000e+01
            91   5.33396e+01   9.10000e+01  -3.97793e+00   1.61668e+00   3.25833e+01
            92   5.33371e+01   9.20000e+01  -3.97999e+00   1.61695e+00   3.26667e+01
            93   5.33416e+01   9.30000e+01  -3.98314e+00   1.61718e+00   3.27500e+01
            94   5.33515e+01   9.40000e+01  -3.98812e+00   1.61734e+00   3.28333e+01
            95   5.33453e+01   9.50000e+01  -3.99520e+00   1.61748e+00   3.29167e+01
            96   5.33407e+01   9.60000e+01  -3.99871e+00   1.61756e+00   3.30000e+01
            97   5.33519e+01   9.70000e+01  -4.00414e+00   1.61765e+00   3.30833e+01
            98   5.33473e+01   9.80000e+01  -4.01063e+00   1.61773e+00   3.31667e+01
            99   5.33403e+01   9.90000e+01  -4.01609e+00   1.61780e+00   3.32500e+01
           100   5.33410e+01   1.00000e+02  -4.02392e+00   1.61780e+00   3.33333e+01
           101   5.33537e+01   1.01000e+02  -4.02976e+00   1.61783e+00   3.34167e+01
           102   5.33617e+01   1.02000e+02  -4.03549e+00   1.61787e+00   3.35000e+01
           103   5.33596e+01   1.03000e+02  -4.04144e+00   1.61790e+00   3.35833e+01
           104   5.33546e+01   1.04000e+02  -4.04977e+00   1.61792e+00   3.36667e+01
           105   5.33611e+01   1.05000e+02  -4.05470e+00   1.61794e+00   3.37500e+01
           106   5.33689e+01   1.06000e+02  -4.05936e+00   1.61796e+00   3.38333e+01
           107   5.33697e+01   1.07000e+02  -4.06355e+00   1.61797e+00   3.39167e+01
           108   5.33739e+01   1.08000e+02  -4.06553e+00   1.61798e+00   3.40000e+01
           109   5.33731e+01   1.09000e+02  -4.06940e+00   1.61798e+00   3.40833e+01
           110   5.33800e+01   1.10000e+02  -4.07392e+00   1.61799e+00   3.41667e+01
           111   5.33997e+01   1.11000e+02  -4.07902e+00   1.61799e+00   3.42500e+01
           112   5.33994e+01   1.12000e+02  -4.08217e+00   1.61797e+00   3.43333e+01
           113   5.34058e+01   1.13000e+02  -4.08509e+00   1.61788e+00   3.44167e+01
           114   5.34158e+01   1.14000e+02  -4.08791e+00   1.61777e+00   3.45000e+01
           115   5.34212e+01   1.15000e+02  -4.09015e+00   1.61767e+00   3.45833e+01
           116   5.34348e+01   1.16000e+02  -4.09349e+00   1.61750e+00   3.46667e+01
           117   5.34531e+01   1.17000e+02  -4.09815e+00   1.61738e+00   3.47500e+01
           118   5.34516e+01   1.18000e+02  -4.10400e+00   1.61728e+00   3.48333e+01
           119   5.34532e+01   1.19000e+02  -4.10953e+00   1.61718e+00   3.49167e+01
           120   5.34569e+01   1.20000e+02  -4.11220e+00   1.61714e+00   3.50000e+01
           121   5.34767e+01   1.21000e+02  -4.11515e+00   1.61709e+00   3.50833e+01
           122   5.34867e+01   1.22000e+02  -4.11918e+00   1.61705e+00   3.51667e+01
           123   5.35040e+01   1.23000e+02  -4.12411e+00   1.61702e+00   3.52500e+01
           124   5.35167e+01   1.24000e+02  -4.13083e+00   1.61692e+00   3.53333e+01
           125   5.35237e+01   1.25000e+02  -4.13358e+00   1.61680e+00   3.54167e+01
           126   5.35307e+01   1.26000e+02  -4.13607e+00   1.61668e+00   3.55000e+01
           127   5.35492e+01   1.27000e+02  -4.14083e+00   1.61656e+00   3.55833e+01
           128   5.35492e+01   1.28000e+02  -4.14473e+00   1.61636e+00   3.56667e+01
           129   5.35623e+01   1.29000e+02  -4.14953e+00   1.61624e+00   3.57500e+01
           130   5.35811e+01   1.30000e+02  -4.15504e+00   1.61614e+00   3.58333e+01
           131   5.35852e+01   1.31000e+02  -4.16057e+00   1.61606e+00   3.59167e+01
           132   5.36059e+01   1.32000e+02  -4.16506e+00   1.61607e+00   3.60000e+01
           133   5.36231e+01   1.33000e+02  -4.17018e+00   1.61605e+00   3.60833e+01
           134   5.36372e+01   1.34000e+02  -4.17417e+00   1.61605e+00   3.61667e+01
           135   5.36367e+01   1.35000e+02  -4.17735e+00   1.61605e+00   3.62500e+01
           136   5.36606e+01   1.36000e+02  -4.18334e+00   1.61611e+00   3.63333e+01
           137   5.36746e+01   1.37000e+02  -4.18721e+00   1.61617e+00   3.64167e+01
           138   5.36960e+01   1.38000e+02  -4.19005e+00   1.61626e+00   3.65000e+01
           139   5.37063e+01   1.39000e+02  -4.19203e+00   1.61636e+00   3.65833e+01
           140   5.37353e+01   1.40000e+02  -4.19161e+00   1.61655e+00   3.66667e+01
           141   5.37425e+01   1.41000e+02  -4.19258e+00   1.61668e+00   3.67500e+01
           142   5.37583e+01   1.42000e+02  -4.19466e+00   1.61676e+00   3.68333e+01
           143   5.37707e+01   1.43000e+02  -4.19648e+00   1.61682e+00   3.69167e+01
           144   5.37945e+01   1.44000e+02  -4.19525e+00   1.61686e+00   3.70000e+01
           145   5.38043e+01   1.45000e+02  -4.19552e+00   1.61690e+00   3.70833e+01
           146   5.38192e+01   1.46000e+02  -4.19617e+00   1.61692e+00   3.71667e+01
           147   5.38474e+01   1.47000e+02  -4.19689e+00   1.61693e+00   3.72500e+01
           148   5.38607e+01   1.48000e+02  -4.19708e+00   1.61683e+00   3.73333e+01
           149   5.38843e+01   1.49000e+02  -4.19748e+00   1.61676e+00   3.74167e+01
           150   5.38993e+01   1.50000e+02  -4.19877e+00   1.61666e+00   3.75000e+01
